"id","page","route","section","legal","en","tr"
"home.042","Homepage","/","Talep formu","","City / location","Şehir / bölge"
"home.043","Homepage","/","Talep formu","","Timeline","Zamanlama"
"home.044","Homepage","/","Talep formu","","Immediately","Hemen"
"home.045","Homepage","/","Talep formu","","Within 1 month","1 ay içinde"
"home.046","Homepage","/","Talep formu","","1–3 months","1–3 ay"
"home.047","Homepage","/","Talep formu","","Just planning","Henüz planlama aşamasında"
"home.048","Homepage","/","Talep formu","","Get Workforce Proposal →","Teklif isteyin →"
"home.049","Homepage","/","Talep formu","","Chat on WhatsApp instead","WhatsApp'tan yazın"
"home.050","Homepage","/","Sayısal göstergeler","","workers placed","işe yerleştirilen çalışan"
"home.051","Homepage","/","Sayısal göstergeler","","source countries","iş gücü temin edilen ülke"
"home.052","Homepage","/","Sayısal göstergeler","yes","average permit approval","ortalama çalışma izni süresi"
"home.053","Homepage","/","Onay panosu","","All cases are public →","Gerçek onayları inceleyin →"
"home.054","Homepage","/","Onay panosu","","approvals wall · real routes","Doğrulanmış sonuçlar · gerçek süreçler"
"home.055","Homepage","/","Onay panosu","","All approvals →","Tüm onaylar →"
"home.056","Homepage","/","Yönlendirme kartları","","I need workers","İşçiye ihtiyacım var"
"home.057","Homepage","/","Yönlendirme kartları","","Free proposal with real cost in 24 hours","24 saat içinde, gerçek maliyetiyle ücretsiz teklif"
"home.058","Homepage","/","Yönlendirme kartları","","I'm an agency abroad","Yurt dışında acenteyim"
"home.059","Homepage","/","Yönlendirme kartları","","Send candidates, we pay you on placement","Aday gönderin, yerleştirmede ödemenizi JobsAdmire yapar"
"home.060","Homepage","/","Yönlendirme kartları","","Check someone's ID","Temsilciyi doğrulayın"
"home.061","Homepage","/","Yönlendirme kartları","","Workers never pay a fee — verify before you deal","İşçiden ücret alınmaz — işlem yapmadan önce doğrulayın"
"home.062","Homepage","/","Adaylar","","Live candidates","Güncel adaylar"
"home.063","Homepage","/","Adaylar","","Available for interview this week","Bu hafta görüşmeye hazır"
"home.064","Homepage","/","Adaylar","","See all candidates →","Tüm adayları görün →"
"home.065","Homepage","/","Adaylar","","View profile →","Profili görün →"
"home.066","Homepage","/","Adaylar","","Candidate list updates weekly — documents pre-verified before you ever see a profile","Aday listesi her hafta güncellenir — belgeler siz profili görmeden önce doğrulanır"
"home.067","Homepage","/","Adaylar","","Browse 14+ live profiles →","14+ güncel profile bakın →"
"home.068","Homepage","/","Maliyet hesaplama","","Real cost, 2026 rates","Gerçek maliyet, 2026 oranları"
"home.069","Homepage","/","Maliyet hesaplama","","See the real cost before you decide","Karar vermeden önce gerçek maliyeti görün"
"home.070","Homepage","/","Maliyet hesaplama","yes","Salary is only part of it. SGK, permit fees, flights and housing decide what a worker actually costs you.","Maaş toplam maliyetin yalnızca bir parçasıdır. SGK, izin harçları, uçuş ve konaklama bir işçinin size gerçekte ne kadara geldiğini belirler."
"home.071","Homepage","/","Maliyet hesaplama","","Most quotes leave them out — ours never do.","Çoğu teklif bu kalemleri dışarıda bırakır; JobsAdmire bırakmaz."
"home.072","Homepage","/","Maliyet hesaplama","","Role level — sets the legal salary floor","Pozisyon seviyesi — yasal maaş tabanını belirler"
"home.073","Homepage","/","Maliyet hesaplama","","How many workers?","Kaç işçi?"
"home.074","Homepage","/","Maliyet hesaplama","yes","SGK incentives and minimum-wage support already applied","SGK teşvikleri ve asgari ücret desteği hesaba dahildir"
"home.075","Homepage","/","Maliyet hesaplama","","Adjust salary, sector, housing and travel on the full calculator","Maaş, sektör, konaklama ve seyahat kalemlerini tam hesaplama sayfasında düzenleyin"
"home.076","Homepage","/","Maliyet hesaplama","","Open the full calculator →","Tam hesaplamayı açın →"
"home.077","Homepage","/","Maliyet hesaplama","","What permits cost","İzin maliyetleri"
"home.078","Homepage","/","Maliyet hesaplama","","Per worker / month","İşçi başına aylık"
"home.079","Homepage","/","Maliyet hesaplama","","2026 rates","2026 oranları"
"home.080","Homepage","/","Maliyet hesaplama","yes","Gross salary (minimum wage)","Brüt maaş (asgari ücret)"
"home.081","Homepage","/","Maliyet hesaplama","yes","SGK employer share · 21.75%","SGK işveren payı · %21,75"
"home.082","Homepage","/","Maliyet hesaplama","yes","Minimum wage support","Asgari ücret desteği"
"home.083","Homepage","/","Maliyet hesaplama","","Employer cost, per worker","İşçi başına işveren maliyeti"
"home.084","Homepage","/","Maliyet hesaplama","","Salary","Maaş"
"home.085","Homepage","/","Maliyet hesaplama","yes","SGK and contributions","SGK ve primler"
"home.086","Homepage","/","Maliyet hesaplama","yes","First-year one-time costs · permit ₺16,000 + flight ₺12,000","İlk yıl tek seferlik maliyetler · izin 16.000 ₺ + uçuş 12.000 ₺"
"home.087","Homepage","/","Maliyet hesaplama","","Send this estimate on WhatsApp","Bu hesabı WhatsApp'tan gönderin"
"home.088","Homepage","/","Maliyet hesaplama","","See cost breakdown","Maliyet dökümünü görün"
"home.089","Homepage","/","Maliyet hesaplama","","Hide breakdown","Dökümü gizleyin"
"home.090","Homepage","/","Maliyet hesaplama","yes","Estimate at the 2026 minimum wage with the standard SGK discount. Skilled and specialist roles carry a higher legal salary floor — the full calculator covers every case.","Hesaplama 2026 asgari ücreti ve standart SGK indirimi esas alınarak yapılmıştır. Nitelikli ve uzman pozisyonlarda yasal maaş tabanı daha yüksektir — tam hesaplama her durumu kapsar."
"home.091","Homepage","/","Süreç ve zaman çizelgesi","","How it works","Süreç nasıl işler"
"home.092","Homepage","/","Süreç ve zaman çizelgesi","","From your request to the first working day","Talebinizden ilk iş gününe kadar"
"home.093","Homepage","/","Süreç ve zaman çizelgesi","","One partner runs the whole journey — sourcing, vetting, permits and arrival. No part of the work is passed to agents you have never met.","Tüm süreci tek bir kurum yürütür — temin, kontrol, izinler ve varış. Hiçbir aşama, tanımadığınız acentelere devredilmez."
"home.094","Homepage","/","Süreç ve zaman çizelgesi","","Your total effort","Sizden beklenen"
"home.095","Homepage","/","Süreç ve zaman çizelgesi","","3 things: share the requirement, approve the shortlist, sign the contract. JobsAdmire handles everything else.","3 adım: ihtiyacınızı paylaşın, kısa listeyi onaylayın, sözleşmeyi imzalayın. Geri kalan her şeyi JobsAdmire yürütür."
"home.096","Homepage","/","Sezon planlayıcı","","Season planner","Sezon planlayıcı"
"home.097","Homepage","/","Sezon planlayıcı","","When to start, so workers arrive on time","İşçilerin zamanında gelmesi için ne zaman başlamalısınız"
"home.098","Homepage","/","Sezon planlayıcı","yes","A permit takes about 45 days, travel and arrival another one to two weeks.","Çalışma izni yaklaşık 45 gün, seyahat ve varış bir ila iki hafta daha sürer."
"home.099","Homepage","/","Sezon planlayıcı","","Plan back from the month you actually need people on site.","İşçilere sahada gerçekten ihtiyaç duyduğunuz aydan geriye doğru planlayın."
"home.100","Homepage","/","Sezon planlayıcı","","Peak demand","Yoğun talep"
"home.101","Homepage","/","Sezon planlayıcı","","Secondary season","İkinci sezon"
"home.102","Homepage","/","Sezon planlayıcı","","This month","Bu ay"
"home.103","Homepage","/","Sezon planlayıcı","","Start this group →","Bu grubu başlatın →"
"home.104","Homepage","/","Süreç ve zaman çizelgesi","","Day 0","Başlangıç"
"home.105","Homepage","/","Süreç ve zaman çizelgesi","","Share your requirement","İhtiyacınızı paylaşın"
"home.106","Homepage","/","Süreç ve zaman çizelgesi","","Sector, headcount, location and timeline — via the form or WhatsApp.","Sektör, kişi sayısı, lokasyon ve zaman planı — form ya da WhatsApp üzerinden."
"home.107","Homepage","/","Süreç ve zaman çizelgesi","","24 hours","24 saat"
"home.108","Homepage","/","Süreç ve zaman çizelgesi","","Your proposal arrives","Teklifiniz ulaşır"
"home.109","Homepage","/","Süreç ve zaman çizelgesi","","Candidate profiles, the real monthly cost and a permit timeline — free, no commitment.","Aday profilleri, gerçek aylık maliyet ve çalışma izni takvimi — ücretsiz, taahhüt yok."
"home.110","Homepage","/","Süreç ve zaman çizelgesi","","Week 1–2","1–2. hafta"
"home.111","Homepage","/","Süreç ve zaman çizelgesi","","Interviews and approval","Görüşmeler ve onay"
"home.112","Homepage","/","Süreç ve zaman çizelgesi","","Candidates screened in their country by our own representatives — you meet only pre-verified people.","Adaylar kendi ülkelerinde JobsAdmire temsilcileri tarafından değerlendirilir — yalnızca doğrulanmış kişilerle görüşürsünüz."
"home.113","Homepage","/","Süreç ve zaman çizelgesi","yes","~45 days","~45 gün"
"home.114","Homepage","/","Süreç ve zaman çizelgesi","","Contract and work permit","Sözleşme ve çalışma izni"
"home.115","Homepage","/","Süreç ve zaman çizelgesi","yes","Every permit filed and tracked to approval under law No. 4904.","Her izin başvurusu 4904 sayılı kanun kapsamında yapılır ve onaya kadar takip edilir."
"home.116","Homepage","/","Süreç ve zaman çizelgesi","","Arrival","Varış"
"home.117","Homepage","/","Süreç ve zaman çizelgesi","","First working day","İlk iş günü"
"home.118","Homepage","/","Süreç ve zaman çizelgesi","yes","Travel, onboarding, SGK registration and 30-day follow-up — workers start on schedule.","Seyahat, işe uyum, SGK kaydı ve 30 günlük takip — işçiler planlanan tarihte başlar."
"home.119","Homepage","/","Acente ağı","","Agent network","Acente ağı"
"home.120","Homepage","/","Acente ağı","","Vetted partner agencies in 13 countries","13 ülkede denetlenen iş ortağı acenteler"
"home.121","Homepage","/","Acente ağı","","Partner agencies and training institutes source and prepare candidates in their country — under our rules, supervised by our own team. They cannot sign contracts on behalf of JobsAdmire and never collect money from a worker.","İş ortağı acenteler ve eğitim kurumları adayları kendi ülkelerinde bulur ve hazırlar — JobsAdmire'ın kurallarına göre ve JobsAdmire ekibinin denetiminde. JobsAdmire adına sözleşme imzalayamazlar ve hiçbir işçiden para tahsil etmezler."
"home.122","Homepage","/","Acente ağı","","Source countries","Kaynak ülkeler"
"home.123","Homepage","/","Acente ağı","","Supervised by our own country representatives","JobsAdmire'ın ülke temsilcileri tarafından denetlenir"
"home.124","Homepage","/","Acente ağı","","They cannot sign contracts on behalf of JobsAdmire, and never collect money from a worker","JobsAdmire adına sözleşme imzalayamaz ve hiçbir işçiden para tahsil etmezler"
"home.125","Homepage","/","Acente ağı","","Become a partner agency →","İş ortağı acente olun →"
"home.126","Homepage","/","Acente ağı","","Report fraud","Dolandırıcılık bildirin"
"home.127","Homepage","/","Ekip","","Our employees, publicly listed","Çalışanlarımız kamuya açık kayıtlıdır"
"home.128","Homepage","/","Ekip","","Everyone below is on our payroll with a JA- ID — check anyone on the public register before you deal with them.","Aşağıda yer alan tüm çalışanlar JobsAdmire bünyesinde görev yapmaktadır. Her ekip üyesinin ‘JA-’ ile başlayan benzersiz bir kimlik numarası bulunur. İşlem yapmadan önce ekip üyesini kamuya açık kayıtlarımızdan doğrulayabilirsiniz."
"home.129","Homepage","/","Ekip","","Only authorised signatory","Tek imza yetkilisi"
"home.130","Homepage","/","Ekip","","Founder — the only person who signs contracts and approves fees for JobsAdmire.","Kurucu — JobsAdmire adına sözleşme imzalayan ve ücretleri onaylayan tek kişi."
"home.131","Homepage","/","Ekip","","Operations, work permits, employer desk and quality — where every proposal and permit is handled.","Operasyon, çalışma izinleri, işveren birimi ve kalite — her teklif ve izin burada yürütülür."
"home.132","Homepage","/","Ekip","","Karachi office","Karaçi ofisi"
"home.133","Homepage","/","Ekip","","Antalya HQ","Antalya merkez ofis"
"home.134","Homepage","/","Ekip","","Our tech team — website, CRM and internal systems that keep every case trackable.","Teknoloji ekibi — web sitesi, CRM ve her dosyanın takip edilebilir kalmasını sağlayan iç sistemler."
"home.135","Homepage","/","Ekip","","Country representatives","Ülke temsilcileri"
"home.136","Homepage","/","Ekip","","Our employees in every source country — they run interviews, check documents and supervise partner agencies.","Her kaynak ülkedeki JobsAdmire çalışanları — görüşmeleri yürütür, belgeleri kontrol eder ve iş ortağı acenteleri denetler."
"home.137","Homepage","/","Ekip","","Verify any team member →","Ekip üyesini doğrulayın →"
"home.138","Homepage","/","Ekip","","About us →","Hakkımızda →"
"home.139","Homepage","/","Ekip","","We're hiring — join our team →","İşe alım yapıyoruz — ekibimize katılın →"
"home.140","Homepage","/","İş ortaklığı ve işe alım","","Work with us","Bizimle çalışın"
"home.141","Homepage","/","İş ortaklığı ve işe alım","","Two ways to join the network","Ağa katılmanın iki yolu"
"home.142","Homepage","/","İş ortaklığı ve işe alım","","Suppliers abroad and our own field staff — both start with the same rule: the worker never pays.","Yurt dışındaki tedarikçiler ve JobsAdmire'ın saha ekibi — ikisi de aynı kuralla başlar: işçiden hiçbir ücret alınmaz."
"home.143","Homepage","/","İş ortaklığı ve işe alım","","For agencies and institutes abroad","Yurt dışındaki acenteler ve kurumlar için"
"home.144","Homepage","/","İş ortaklığı ve işe alım","","Become a sourcing partner","Tedarik ortağı olun"
"home.145","Homepage","/","İş ortaklığı ve işe alım","","You find and prepare candidates in your country. JobsAdmire handles the Turkish employer, the contract and every work permit — and pays you directly.","Adayları kendi ülkenizde bulup hazırlarsınız. Türkiye'deki işvereni, sözleşmeyi ve tüm çalışma izni sürecini JobsAdmire yürütür — ödemenizi de doğrudan JobsAdmire yapar."
"home.146","Homepage","/","İş ortaklığı ve işe alım","","Live job orders with real headcount and salaries","Güncel iş gücü taleplerine, ihtiyaç duyulan çalışan sayısına ve ücret bilgilerine erişim"
"home.147","Homepage","/","İş ortaklığı ve işe alım","","Paid by JobsAdmire on placement — never by the worker","Yerleştirme tamamlandığında ödeme doğrudan JobsAdmire tarafından yapılır; işçiden hiçbir ücret alınmaz"
"home.148","Homepage","/","İş ortaklığı ve işe alım","","Portal access to track every candidate and permit","Aday ve çalışma izni süreçlerini takip edebileceğiniz portal erişimi"
"home.149","Homepage","/","İş ortaklığı ve işe alım","","How partnering works →","İş ortaklığı nasıl işler →"
"home.150","Homepage","/","İş ortaklığı ve işe alım","","Partner agencies are suppliers — they cannot sign contracts on behalf of JobsAdmire and never collect money from a worker.","İş ortağı acenteler tedarikçidir — JobsAdmire adına sözleşme imzalayamaz ve hiçbir işçiden para tahsil etmezler."
"home.151","Homepage","/","İş ortaklığı ve işe alım","","We are hiring","İşe alım yapıyoruz"
"home.152","Homepage","/","İş ortaklığı ve işe alım","","Join our team","Ekibimize katılın"
"home.153","Homepage","/","İş ortaklığı ve işe alım","","Country representatives, sourcing coordinators and trade-test assessors — on our payroll, with a JA- ID that anyone can check on the public register.","Ülke temsilcileri, tedarik koordinatörleri ve meslek testi değerlendiricileri — JobsAdmire bordrosunda ve herkesin kamuya açık kayıttan doğrulayabileceği JA- kimlik numarasıyla çalışır."
"home.154","Homepage","/","İş ortaklığı ve işe alım","","Country Representative","Ülke İşe Alım Temsilcisi"
"home.155","Homepage","/","İş ortaklığı ve işe alım","","Full-time · source countries","Tam zamanlı · kaynak ülkeler"
"home.156","Homepage","/","İş ortaklığı ve işe alım","","Sourcing Coordinator","Aday Tedarik Uzmanı"
"home.157","Homepage","/","İş ortaklığı ve işe alım","","Part-time · remote","Yarı zamanlı · uzaktan"
"home.158","Homepage","/","İş ortaklığı ve işe alım","","Trade Test Assessor","Aday Değerlendirme Uzmanı"
"home.159","Homepage","/","İş ortaklığı ve işe alım","","Project-based","Proje bazlı"
"home.160","Homepage","/","İş ortaklığı ve işe alım","","See open roles →","Açık pozisyonları görün →"
"home.161","Homepage","/","İş ortaklığı ve işe alım","","See who works here","Burada kimler çalışıyor"
"home.162","Homepage","/","Portal / panel","","Your dashboard","Dijital İş Gücü Platformunuz"
"home.163","Homepage","/","Portal / panel","","Your whole workforce in one portal","Tüm iş gücünüz tek portalda"
"home.164","Homepage","/","Portal / panel","","No spreadsheets and no phone calls to get updates. Everything from shortlist to permit lives on the portal — and on your phone.","Excel tablosu yok, güncelleme için telefon trafiği yok. Kısa listeden çalışma iznine kadar tüm süreç tek portalda, her an yanınızda."
"home.165","Homepage","/","Portal / panel","","Shortlist in 24 hours, only pre-verified profiles","24 saat içinde kısa liste, yalnızca doğrulanmış profiller"
"home.166","Homepage","/","Portal / panel","","Contracts signed online — no courier","Sözleşmeler çevrim içi imzalanır — kurye yok"
"home.167","Homepage","/","Portal / panel","","Live permit tracking","Canlı izin takibi"
"home.168","Homepage","/","Portal / panel","","Every application status, in real time","Her başvurunun durumunu anlık olarak takip edin."
"home.169","Homepage","/","Portal / panel","","Approve a candidate in 30 seconds","Bir adayı 30 saniyede onaylayın"
"home.170","Homepage","/","Portal / panel","","Shortlist in 24 hours, contracts signed online","24 saatte kısa liste, sözleşmeler çevrim içi"
"home.171","Homepage","/","Portal / panel","","Live permit status for every worker","Her işçi için canlı izin durumu"
"home.172","Homepage","/","Portal / panel","","Approve a candidate from your phone in 30 seconds","Telefonunuzdan bir adayı 30 saniyede onaylayın"
"home.173","Homepage","/","Portal / panel","","See how it works →","Nasıl çalıştığını görün →"
"home.174","Homepage","/","Portal / panel","","Same live data everywhere","Her yerde güncel bilgi"
"home.175","Homepage","/","Blog ve rehberler","","Guides and market updates","Rehberler ve piyasa güncellemeleri"
"home.176","Homepage","/","Blog ve rehberler","","All articles →","Tüm içerikleri görün →"
"home.177","Homepage","/","Blog ve rehberler","","Featured guide","Öne çıkan rehber"
"home.178","Homepage","/","Blog ve rehberler","","Read the guide →","Rehberi okuyun →"
"home.179","Homepage","/","Blog ve rehberler","","Browse all guides →","Tüm rehberleri inceleyin →"
"home.180","Homepage","/","SSS","","Common questions","Sık sorulan sorular"
"home.181","Homepage","/","SSS","","Questions employers ask us first","İşverenlerin ilk sorduğu sorular"
"home.182","Homepage","/","SSS","","Have another question? Contact the Antalya team directly.","Başka bir sorunuz mu var? Antalya ekibiyle doğrudan iletişime geçin."
"home.183","Homepage","/","SSS","","Ask on WhatsApp","WhatsApp'tan sorun"
"home.184","Homepage","/","Alt çağrı bölümü","","Need workers this quarter?","Bu dönem işçiye ihtiyacınız var mı?"
"home.185","Homepage","/","Alt çağrı bölümü","yes","Talk to the Antalya employer team directly — free consultation, proposal within 24 hours. Workers never pay a fee, law No. 4904.","Antalya’daki işveren ekibimizle doğrudan iletişime geçin. Ücretsiz danışmanlık ve 24 saat içinde teklif alın. İşçiden hiçbir ücret alınmaz; hizmetlerimiz 4904 sayılı Kanun kapsamında sunulur."
"home.186","Homepage","/","Alt çağrı bölümü","","Request workers →","İşçi talep edin →"
"home.187","Homepage","/","Alt çağrı bölümü","","Call the office","Ofisi arayın"
"home.188","Homepage","/","Alt bilgi (Footer)","","Licensed workforce recruitment for employers in Turkey — overseas sourcing, vetting and work permits, end-to-end.","Türkiye'deki işverenler için lisanslı iş gücü temini — yurt dışından tedarik, kontrol ve çalışma izinleri, uçtan uca."
"home.189","Homepage","/","Alt bilgi (Footer)","","For Employers","İşverenler için"
"home.190","Homepage","/","Alt bilgi (Footer)","","Company","Kurumsal"
"home.191","Homepage","/","Alt bilgi (Footer)","","Contact","İletişim"
"home.192","Homepage","/","Alt bilgi (Footer)","","Get directions","Yol tarifi alın"
"home.193","Homepage","/","Alt bilgi (Footer)","","WhatsApp Us →","WhatsApp'tan yazın →"
"home.194","Homepage","/","Alt bilgi (Footer)","","Manage your workforce anywhere","İş gücünüzü her yerden yönetin"
"home.195","Homepage","/","Alt bilgi (Footer)","","Approve candidates, track permits and get instant updates.","Adayları onaylayın, izinleri takip edin ve anlık bildirim alın."
"home.196","Homepage","/","Alt bilgi (Footer)","","Antalya · Head office","Antalya · Merkez ofis"
"home.197","Homepage","/","Alt bilgi (Footer)","","Karachi · Tech office","Karaçi · Teknoloji ofisi"
"home.198","Homepage","/","Alt bilgi (Footer)","","Mon–Fri 09:00–18:00","Pzt–Cum 09:00–18:00"
"home.199","Homepage","/","Alt bilgi (Footer)","","Mon–Sat 10:00–19:00 PKT","Pzt–Cmt 10:00–19:00 PKT"
"home.200","Homepage","/","Ekip","","Our team","Ekibimiz"
"home.201","Homepage","/","Menü ve genel etiketler","","Approved","Onaylandı"
"home.202","Homepage","/","Menü ve genel etiketler","","Telegram us","Telegram'dan yazın"
"home.203","Homepage","/","Blog ve rehberler","","Recruitment","İşe alım"
"home.204","Homepage","/","Blog ve rehberler","","Hiring from Pakistan: what Turkish employers should know","Pakistan'dan işe alım: Türk işverenlerin bilmesi gerekenler"
"home.205","Homepage","/","Blog ve rehberler","","Skill profiles, vetting standards, document realities and timelines — everything we have learned from the route we know best, written for employers who have never hired overseas before.","Aday profilleri, değerlendirme kriterleri, gerekli belgeler ve süreç süreleri — yurt dışından ilk kez işe alım yapacak işverenler için, sahadaki deneyimlerimize dayanarak hazırlanan kapsamlı bir rehber."
"home.206","Homepage","/","Sayısal göstergeler","","days","gün"
"home.207","Homepage","/","Portal / panel","","AI matching","Yapay zeka eşleştirme"
"home.208","Homepage","/","Portal / panel","","Shortlist in 24 hours, only pre-verified profiles","24 saat içinde kısa liste, yalnızca doğrulanmış profiller"
"home.209","Homepage","/","Portal / panel","","E-signature","E-imza"
"home.210","Homepage","/","Portal / panel","","Contracts signed online — no courier","Sözleşmeler çevrim içi imzalanır — kurye yok"
"home.211","Homepage","/","Portal / panel","","Live permit tracking","Canlı izin takibi"
"home.212","Homepage","/","Portal / panel","","Every application status, in real time","Her başvurunun durumunu anlık olarak takip edin."
"home.213","Homepage","/","Portal / panel","","Mobile app","Mobil uygulama"
"home.214","Homepage","/","Portal / panel","","Approve a candidate in 30 seconds","Bir adayı 30 saniyede onaylayın"
"home.215","Homepage","/","Portal / panel","","Permits approved — 12 of 15","İzinler onaylandı — 15 başvurudan 12'si"
"home.216","Homepage","/","Portal / panel","","New shortlist · 6 profiles ⚡","Yeni kısa liste · 6 profil ⚡"
"home.217","Homepage","/","Menü ve genel etiketler","","Now:","Şimdi:"
"home.218","Homepage","/","Alt bilgi (Footer)","","Privacy","Gizlilik Politikası"
"home.219","Homepage","/","Alt bilgi (Footer)","","Terms","Kullanım Şartları"
"home.220","Homepage","/","Blog ve rehberler","","Insights","Bilgi ve analiz"
"home.221","Homepage","/","Alt çağrı bölümü","","WhatsApp us","WhatsApp'tan yazın"
"home.222","Homepage","/","Menü ve genel etiketler","","LIVE","CANLI"
"home.223","Homepage","/","Menü ve genel etiketler","","Talk to us","Bize yazın"
"home.224","Homepage","/","Alt bilgi (Footer)","","Factory","Fabrika"
"home.225","Homepage","/","Alt bilgi (Footer)","","Agriculture","Tarım"
"home.226","Homepage","/","Alt bilgi (Footer)","","Tourism & Hotels","Turizm ve Otelcilik"
"home.227","Homepage","/","Alt bilgi (Footer)","","Construction","İnşaat"
"home.228","Homepage","/","Sezon planlayıcı","yes","İŞKUR permit No. 1730 · Job seekers are never charged a fee (law No. 4904) · Tax No: 48422122","İŞKUR Belge No. 1730 · İş arayanlardan hiçbir ücret alınmaz (4904 sayılı kanun) · Vergi No: 48422122"
"home.229","Homepage","/","Adaylar","","Welder","Kaynakçı"
"home.230","Homepage","/","Adaylar","","CNC Operator","CNC operatörü"
"home.231","Homepage","/","Adaylar","","Housekeeping","Kat hizmetleri"
"home.232","Homepage","/","Adaylar","","Greenhouse Worker","Sera işçisi"
"home.233","Homepage","/","Adaylar","","Forklift Operator","Forklift operatörü"
"home.234","Homepage","/","Adaylar","","Line Cook","Aşçı"
"home.235","Homepage","/","Adaylar","","MIG/TIG certified","MIG/TIG belgeli"
"home.236","Homepage","/","Adaylar","","5-star resort","5 yıldızlı tesis"
"home.237","Homepage","/","Adaylar","","Team of 8","8 kişilik ekip"
"home.238","Homepage","/","Adaylar","","Licensed","Operatör belgeli"
"home.239","Homepage","/","Adaylar","","Hotel kitchen","Otel mutfağı"
"home.240","Homepage","/","Maliyet hesaplama","","General worker","Genel işçi"
"home.241","Homepage","/","Maliyet hesaplama","","Skilled / certified","Nitelikli / belgeli"
"home.242","Homepage","/","Maliyet hesaplama","","Specialist","Uzman"
"home.243","Homepage","/","Sezon planlayıcı","","Agriculture & greenhouse","Tarım ve sera"
"home.244","Homepage","/","Sezon planlayıcı","","Coastal hotels and resorts","Kıyı otelleri ve tatil köyleri"
"home.245","Homepage","/","Sezon planlayıcı","","Sites and infrastructure","Şantiyeler ve altyapı"
"home.246","Homepage","/","Sezon planlayıcı","","Year-round production","Yıl boyu üretim"
