calc.001 | hHome | - | Hero | EN: Home | TR: Ana Sayfa
calc.078 | b1T | - | Dayanak (2026 verileri) | EN: Minimum wage 2026 | TR: Asgari ücret 2026
calc.079 | b1B | - | Dayanak (2026 verileri) | EN: ₺33,030 gross / ₺28,075.50 net per month, set by the Ministry in December 2025. Employer cost at that level: ₺ | TR: Aylık brüt ₺33.030 / net ₺28.075,50; Aralık 2025'te Bakanlık tarafında
calc.080 | b2T | L | Dayanak (2026 verileri) | EN: SGK employer share | TR: SGK işveren payı
calc.081 | b2B | L | Dayanak (2026 verileri) | EN: 23.75% of gross before incentives. With the 5510 discount: 21.75% in most sectors (2 points), 18.75% in manufa | TR: Teşvik öncesi brütün %23,75'i. 5510 indirimiyle: çoğu sektörde %21,75 
calc.082 | b3T | - | Dayanak (2026 verileri) | EN: Permit & card fees | TR: İzin ve kart harçları
calc.083 | b3B | - | Dayanak (2026 verileri) | EN: ≈ ₺16,000 per worker per permit year, updated every January. | TR: İzin yılı başına işçi başına ≈ ₺16.000; her Ocak ayında güncellenir.
calc.084 | b3L | - | Dayanak (2026 verileri) | EN: See how permits work → | TR: İzin süreci nasıl işliyor →
calc.085 | b4T | - | Dayanak (2026 verileri) | EN: Travel & housing | TR: Seyahat ve konaklama
calc.086 | b4B | - | Dayanak (2026 verileri) | EN: Flight ≈ ₺12,000 one-off (varies by country); shared accommodation ≈ ₺5,000 per worker per month. | TR: Uçak bileti tek seferlik ≈ ₺12.000 (ülkeye göre değişir); paylaşımlı k
calc.087 | bNoteL | - | Dayanak (2026 verileri) | EN: Note: | TR: Not:
calc.088 | bNote | - | Dayanak (2026 verileri) | EN: each role also has a legal minimum salary set as a multiple of the minimum wage — offering less means the perm | TR: her meslek için ayrıca asgari ücretin katı olarak belirlenmiş yasal bi
calc.089 | bUpd | - | Dayanak (2026 verileri) | EN: Last updated: | TR: Son güncelleme:
calc.090 | bRev | - | Dayanak (2026 verileri) | EN: Rates are reviewed every January and whenever the Ministry changes them. | TR: Oranlar her Ocak ayında ve Bakanlık değiştirdiğinde gözden geçirilir.
calc.091 | sH | - | Sticky CTA / Maaş rehberi | EN: What should you pay? Salary guide 2026 | TR: Ne kadar ödemelisiniz? Maaş rehberi 2026
calc.092 | sSub | - | Sticky CTA / Maaş rehberi | EN: Gross monthly ranges we see in our own placements. Every range starts at or above the legal minimum for that j | TR: Kendi yerleştirmelerimizde gördüğümüz aylık brüt aralıklar. Her aralık
calc.093 | sLegRange | - | Sticky CTA / Maaş rehberi | EN: Usual gross range | TR: Olağan brüt aralık
calc.094 | sLegMin | - | Sticky CTA / Maaş rehberi | EN: Minimum wage | TR: Asgari ücret
calc.095 | sLegSkill | - | Sticky CTA / Maaş rehberi | EN: Skilled job = 1.5× minimum | TR: Nitelikli iş = asgari ücretin 1,5 katı
calc.096 | sGrossMo | - | Sticky CTA / Maaş rehberi | EN: gross / month | TR: brüt / ay
calc.097 | sEmpCost | - | Sticky CTA / Maaş rehberi | EN: Employer cost | TR: İşverene maliyeti
calc.098 | sFootL | - | Sticky CTA / Maaş rehberi | EN: Employer cost | TR: İşverene maliyeti
calc.099 | sFoot | L | Sticky CTA / Maaş rehberi | EN: = gross salary + SGK employer contribution (21.75%, or 18.75% in manufacturing). Permit fees, flights and acco | TR: = brüt maaş + SGK işveren payı (%21,75, imalatta %18,75). İzin harçlar
calc.100 | zH | - | Kapanış CTA | EN: Now get the real number | TR: Şimdi gerçek rakamı alın
calc.101 | zSub | - | Kapanış CTA | EN: Estimates are useful — a written quote is better. Tell us the roles, headcount and city, and you get the full  | TR: Tahminler işe yarar — yazılı teklif daha iyisidir. Meslekleri, işçi sa
calc.102 | zEst | - | Kapanış CTA | EN: Your estimate so far | TR: Şu ana kadarki tahmininiz
calc.103 | zRough | - | Kapanış CTA | EN: That is roughly | TR: Bu yaklaşık
calc.104 | zFee | - | Kapanış CTA | EN: Service fee is quoted in writing — send this and we come back with the exact figure within 24 hours. | TR: Hizmet bedeli yazılı olarak bildirilir — bunu gönderin, 24 saat içinde
calc.105 | zBtn1 | - | Kapanış CTA | EN: Get a written quote | TR: Yazılı teklif alın
calc.106 | zBtn2 | - | Kapanış CTA | EN: See available candidates | TR: Müsait adayları görün
calc.107 | fBlurb | - | Footer | EN: Licensed workforce recruitment for employers in Turkey — overseas sourcing, vetting and work permits, end-to-e | TR: Türkiye'deki işverenler için izinli işgücü temini — yurt dışından bulm
calc.108 | mCall | - | Footer | EN: Call us | TR: Bizi arayın
calc.109 | pH | - | Cezalar | EN: The cost of doing it the wrong way | TR: Yanlış yolun maliyeti
calc.110 | pSub | L | Cezalar | EN: Some employers think about hiring quietly, without a permit. Here is what that really costs under the 2026 fin | TR: Bazı işverenler izin almadan, sessizce işçi çalıştırmayı düşünür. 2026
calc.111 | p1K | - | Cezalar | EN: Per worker, per inspection | TR: İşçi başına, her denetimde
calc.112 | p1B1 | L | Cezalar | EN: Fine on the employer for each foreign worker found without a permit, under Law No. 6735. If it happens again,  | TR: 6735 sayılı Kanun uyarınca, izinsiz çalıştığı tespit edilen her yabanc
calc.113 | p1B2 | - | Cezalar | EN: per worker. | TR: 'ye çıkar.
calc.114 | p2K | - | Cezalar | EN: Using an unlicensed agent | TR: İzinsiz aracı kullanmak
calc.115 | p2B1 | L | Cezalar | EN: Fine on the | TR: İŞKUR izni olmayan bir aracıyla her çalıştığınızda
calc.116 | p2Emp | - | Cezalar | EN: employer | TR: işverene
calc.117 | p2B2 | L | Cezalar | EN: every time you use an agent who has no İŞKUR licence. The agent pays ₺341,812, and double if it happens again. | TR: kesilen ceza. Aracı ₺341.812 öder, tekrarında iki katı.
calc.118 | p3T | - | Cezalar | EN: You pay for the deportation | TR: Sınır dışı masrafını siz ödersiniz
calc.119 | p3B | - | Cezalar | EN: The employer must pay the worker's accommodation, return travel and health costs, and the same costs for the s | TR: İşveren, işçinin konaklama, dönüş yolculuğu ve sağlık masraflarını; ay
calc.120 | p4T | - | Cezalar | EN: Your incentives stop | TR: Teşvikleriniz durur
calc.121 | p4B | L | Cezalar | EN: If you employ someone without registration, your workplace loses every SGK incentive, including the minimum wa | TR: Kayıt dışı işçi çalıştırırsanız, işyeriniz asgari ücret desteği dahil 
calc.122 | p5T | - | Cezalar | EN: The worker is deported | TR: İşçi sınır dışı edilir
calc.123 | p5B | L | Cezalar | EN: The worker also gets a fine and is reported for deportation. You lose the person you trained and cannot employ | TR: İşçiye de ceza kesilir ve sınır dışı edilmek üzere bildirilir. Eğittiğ
calc.124 | pmA | - | Cezalar | EN: Each worker found<br />without a permit | TR: İzinsiz çalıştığı tespit<br />edilen her bir işçi
calc.125 | pmB | L | Cezalar | EN: Using an agent with<br />no İŞKUR licence | TR: İŞKUR izni bulunmayan<br />bir aracı kullanmak
calc.126 | pmNote1 | - | Cezalar | EN: Both double if it happens again — and the second one is paid by | TR: Tekrarında ikisi de iki katına çıkar — ve ikincisini aracı değil
calc.127 | pmYou | - | Cezalar | EN: you | TR: siz
calc.128 | pmNote2 | - | Cezalar | EN: , not the agent. | TR: ödersiniz.
calc.129 | pmBig1 | L | Cezalar | EN: One fine for one worker is | TR: Tek bir işçi için kesilen tek bir ceza, işi yasal yoldan yapmanın peşi
calc.130 | pmBig2 | - | Cezalar | EN: more than three times | TR: üç katından fazlası
calc.131 | pmBig3 | - | Cezalar | EN: what doing it legally costs you up front — permit and flight together are about ₺28,000. | TR: ıdır — izin ve uçak bileti birlikte yaklaşık ₺28.000 tutar.
calc.132 | pmAsk | L | Cezalar | EN: So always ask an agency for its İŞKUR licence number. | TR: Bu yüzden aracı firmadan mutlaka İŞKUR izin belgesi numarasını isteyin
calc.133 | pmOurs | - | Cezalar | EN: Ours is 1730. | TR: Bizimki 1730.
calc.134 | pBan1 | L | Cezalar | EN: One fine for one worker is more than three times the up-front cost of hiring that person legally — the permit  | TR: Tek bir işçi için kesilen tek bir ceza, o kişiyi yasal yoldan işe alma
calc.135 | pBanYou | - | Cezalar | EN: you | TR: siz
calc.136 | pBan2 | L | Cezalar | EN: pay the fine if your agent has no licence, so always ask for the İŞKUR licence number. | TR: ödersiniz; bu yüzden mutlaka İŞKUR izin belgesi numarasını isteyin.
calc.137 | pBanOurs | - | Cezalar | EN: Ours is 1730. | TR: Bizimki 1730.
calc.138 | qH | - | Kota kontrolü | EN: Are you allowed to hire, and how many? | TR: İşçi alabilir misiniz, kaç kişi?
calc.139 | qSub | - | Kota kontrolü | EN: Two things are checked before anyone looks at the salary: how many Turkish staff your workplace has, and wheth | TR: Maaşa bakılmadan önce iki şey kontrol edilir: işyerinizde kaç Türk çal
calc.140 | qG1 | - | Kota kontrolü | EN: Gate 1 · The 5:1 ratio | TR: 1. Eşik · 5:1 oranı
calc.141 | qLive | - | Kota kontrolü | EN: Live | TR: Canlı
calc.142 | qStaffLbl | - | Kota kontrolü | EN: Turkish employees at this workplace | TR: Bu işyerindeki Türk çalışan sayısı
calc.143 | qSameBranch | L | Kota kontrolü | EN: SGK-registered, same branch | TR: SGK'lı, aynı işyeri
calc.144 | qSplit | - | Kota kontrolü | EN: How your headcount splits into places | TR: Çalışan sayınız kaç kontenjana karşılık geliyor
calc.145 | qLegTr | - | Kota kontrolü | EN: Turkish employee | TR: Türk çalışan
calc.146 | qLegPlace | - | Kota kontrolü | EN: Place unlocked | TR: Açılan kontenjan
calc.147 | qLegInc | - | Kota kontrolü | EN: Incomplete block | TR: Tamamlanmamış grup
calc.148 | qPicked1 | - | Kota kontrolü | EN: You picked | TR: Yukarıdaki hesaplayıcıda
calc.149 | qPicked2 | - | Kota kontrolü | EN: in the cost calculator above. | TR: işçi seçtiniz.
calc.150 | qRuleK | - | Kota kontrolü | EN: The rule in one line | TR: Kural tek cümlede
calc.151 | qRule1 | L | Kota kontrolü | EN: For each foreign worker, your workplace must | TR: Her yabancı işçi için işyerinizde SGK'ya kayıtlı 5 Türk çalışan
calc.152 | qRuleAlready | - | Kota kontrolü | EN: already | TR: halihazırda
calc.153 | qRule2 | L | Kota kontrolü | EN: have 5 Turkish employees registered with SGK. Only complete groups of five count — 9 employees give one place, | TR: bulunmalıdır. Yalnızca tam beşlik gruplar sayılır — 9 çalışan iki deği
calc.154 | undefined | - | Kota kontrolü | EN: Counted | TR: 
calc.155 | qB1b | - | Kota kontrolü | EN: per branch | TR: İşyeri bazında
calc.156 | qB1c | - | Kota kontrolü | EN: , not per company — all five must be at the same workplace. | TR: sayılır, şirket bazında değil — beşinin de aynı işyerinde olması gerek
calc.157 | undefined | - | Kota kontrolü | EN: Counted | TR: 
calc.158 | qB2b | - | Kota kontrolü | EN: on the day you apply | TR: Başvuru günü
calc.159 | qB2c | - | Kota kontrolü | EN: — people you plan to hire do not count. | TR: itibarıyla sayılır — işe almayı planladıklarınız sayılmaz.
calc.160 | qB3a | - | Kota kontrolü | EN: If the foreign worker is a | TR: Yabancı işçi
calc.161 | qB3b | - | Kota kontrolü | EN: company partner | TR: şirket ortağı
calc.162 | qB3c | - | Kota kontrolü | EN: , this rule is checked only in the last six months of the first permit. | TR: ise bu kural yalnızca ilk iznin son altı ayında kontrol edilir.
calc.163 | qG2 | - | Kota kontrolü | EN: Gate 2 · Your company | TR: 2. Eşik · Şirketiniz
calc.164 | qG2a | - | Kota kontrolü | EN: Besides the 5:1 rule, your company must meet | TR: 5:1 kuralının yanı sıra şirketinizin şunlardan
calc.165 | qG2One | - | Kota kontrolü | EN: one | TR: birini
calc.166 | qG2b | - | Kota kontrolü | EN: of these. If the company meets none of them, the application is refused, even with enough Turkish staff. | TR: karşılaması gerekir. Hiçbirini karşılamıyorsa, yeterli Türk çalışan ol
calc.167 | qCap | - | Kota kontrolü | EN: paid-in capital | TR: ödenmiş sermaye
calc.168 | qSales | - | Kota kontrolü | EN: gross sales, last year | TR: brüt satış, geçen yıl
calc.169 | qExp | - | Kota kontrolü | EN: exports, last year | TR: ihracat, geçen yıl
calc.170 | qHouse | - | Kota kontrolü | EN: Household employers and a few exempt groups do not have to meet this condition. | TR: Ev hizmetlerinde çalıştıranlar ve bazı muaf gruplar bu şartı karşılama
calc.171 | qHouseL | - | Kota kontrolü | EN: Check yours in the pass check → | TR: Geçer-mi testinde kontrol edin →
calc.172 | qExK | - | Kota kontrolü | EN: When neither gate applies · exemptions | TR: Hiçbir eşiğin geçerli olmadığı durumlar · muafiyetler
calc.173 | qExFootL | - | Kota kontrolü | EN: We check your quota before quoting | TR: Teklif vermeden önce kotanızı kontrol ederiz
calc.174 | qExFoot | - | Kota kontrolü | EN: — no application is filed that we already know will fail on this. | TR: — bu yüzden reddedileceğini bildiğimiz hiçbir başvuruyu yapmayız.
calc.175 | qmS1 | - | Kota kontrolü | EN: Step 1 | TR: 1. Adım
calc.176 | qmS1T | L | Kota kontrolü | EN: How many Turkish employees does this workplace have on SGK? | TR: Bu işyerinde SGK'lı kaç Türk çalışan var?
calc.177 | qmAns | - | Kota kontrolü | EN: Your answer | TR: Cevabınız
calc.178 | qmWhy | - | Kota kontrolü | EN: Why — the 5:1 rule | TR: Neden — 5:1 kuralı
calc.179 | qmWhyA | - | Kota kontrolü | EN: Every 5 Turkish employees unlock 1 foreign worker. | TR: Her 5 Türk çalışan 1 yabancı işçi kontenjanı açar.
calc.180 | qmWhyB | - | Kota kontrolü | EN: Only complete fives count, so 9 staff still give one place — and they must already be registered at this same  | TR: Yalnızca tam beşlikler sayılır; 9 çalışan yine bir kontenjan verir — v
calc.181 | qmS2 | - | Kota kontrolü | EN: Step 2 · your company | TR: 2. Adım · şirketiniz
calc.182 | qmS2a | - | Kota kontrolü | EN: Besides the staff rule, the company must meet | TR: Çalışan kuralının yanı sıra şirketin şu üçünden
calc.183 | qmS2One | - | Kota kontrolü | EN: one | TR: birini
calc.184 | qmS2b | - | Kota kontrolü | EN: of these three: | TR: karşılaması gerekir:
calc.185 | qmCap | - | Kota kontrolü | EN: paid-in capital | TR: ödenmiş sermaye
calc.186 | qmSales | - | Kota kontrolü | EN: gross sales | TR: brüt satış
calc.187 | qmExp | - | Kota kontrolü | EN: exports | TR: ihracat
calc.188 | qmNote | - | Kota kontrolü | EN: Household employers and some exempt groups skip this. Exemptions are listed below. | TR: Ev hizmetlerinde çalıştıranlar ve bazı muaf gruplar bunun dışındadır. 
calc.189 | cmH | - | Yerli vs yurt dışı | EN: Local hire vs overseas hire | TR: Yerli işe alım vs yurt dışından alım
calc.190 | cmSub | L | Yerli vs yurt dışı | EN: The salary and SGK cost are the same for both. Turkish labour law applies to both, and we never quote below th | TR: Maaş ve SGK maliyeti ikisinde de aynıdır. Türk iş hukuku ikisi için de
calc.191 | cmOptA | - | Yerli vs yurt dışı | EN: Option A | TR: A Seçeneği
calc.192 | cmOptAT | - | Yerli vs yurt dışı | EN: Local Turkish hire | TR: Yerli Türk çalışan
calc.193 | cmOptB | - | Yerli vs yurt dışı | EN: Option B | TR: B Seçeneği
calc.194 | cmOptBT | - | Yerli vs yurt dışı | EN: Overseas hire through us | TR: Bizim aracılığımızla yurt dışından
calc.195 | cmR1 | L | Yerli vs yurt dışı | EN: Salary & SGK | TR: Maaş ve SGK
calc.196 | cmR1a | L | Yerli vs yurt dışı | EN: Same gross salary and SGK — | TR: Aynı brüt maaş ve SGK —
calc.197 | cmR1aS | L | Yerli vs yurt dışı | EN: the law treats both the same | TR: kanun ikisine de aynı davranır
calc.198 | cmR1b | L | Yerli vs yurt dışı | EN: Same gross salary and SGK — | TR: Aynı brüt maaş ve SGK —
calc.199 | cmR1bS | - | Yerli vs yurt dışı | EN: identical payroll cost | TR: birebir aynı bordro maliyeti
calc.200 | cmR2 | - | Yerli vs yurt dışı | EN: Permit & travel | TR: İzin ve seyahat
calc.201 | cmR2a | - | Yerli vs yurt dışı | EN: None | TR: Yok
calc.202 | cmR2bS | - | Yerli vs yurt dışı | EN: About ₺16,000 in state fees, once | TR: Tek seferlik yaklaşık ₺16.000 devlet harcı
calc.203 | cmR2b | - | Yerli vs yurt dışı | EN: + the flight — paid one time, for years of work | TR: + uçak bileti — bir kez ödenir, yıllarca çalışma için
calc.204 | cmR3 | - | Yerli vs yurt dışı | EN: Who accepts the wage | TR: Bu ücreti kim kabul ediyor
calc.205 | cmR3a | - | Yerli vs yurt dışı | EN: At minimum wage, most local applicants keep looking. For the same money they can work in a shop or café in the | TR: Asgari ücrette yerli adayların çoğu aramaya devam eder. Aynı parayla ş
calc.206 | cmR3bS | - | Yerli vs yurt dışı | EN: The same registered wage fills the job | TR: Aynı kayıtlı ücret işi doldurur
calc.207 | cmR3b | - | Yerli vs yurt dışı | EN: — people apply for it, and for them this is a real career step, not a short-term job | TR: — bu işe başvuru gelir ve onlar için bu kısa vadeli bir iş değil, gerç
calc.208 | cmR4 | - | Yerli vs yurt dışı | EN: Where the work is | TR: İşin bulunduğu yer
calc.209 | cmR4a | - | Yerli vs yurt dışı | EN: Factories in small cities and industrial zones have the hardest time. Young people move to the big cities and  | TR: Küçük şehirlerdeki ve organize sanayi bölgelerindeki fabrikalar en çok
calc.210 | cmR4bS | - | Yerli vs yurt dışı | EN: Workers move to where the factory is | TR: İşçiler fabrikanın bulunduğu yere gelir
calc.211 | cmR4b | - | Yerli vs yurt dışı | EN: — a small city, a farm or a remote site is not a problem for these candidates | TR: — küçük bir şehir, bir çiftlik ya da uzak bir şantiye bu adaylar için 
calc.212 | cmR5 | - | Yerli vs yurt dışı | EN: Availability | TR: Bulunabilirlik
calc.213 | cmR5a | - | Yerli vs yurt dışı | EN: Hard for skilled trades — welders, machine operators and seasonal jobs often stay empty for months | TR: Nitelikli mesleklerde zor — kaynakçı, makine operatörü ve sezonluk işl
calc.214 | cmR5bS | - | Yerli vs yurt dışı | EN: Checked candidates, ready now | TR: Değerlendirilmiş adaylar, hemen hazır
calc.215 | cmR5b | - | Yerli vs yurt dışı | EN: — their skills are tested before you interview them | TR: — becerileri siz görüşmeden önce test edilir
calc.216 | cmR6 | - | Yerli vs yurt dışı | EN: Retention | TR: Kalıcılık
calc.217 | cmR6a | - | Yerli vs yurt dışı | EN: People leave often in low-wage jobs, so you hire and train again and again | TR: Düşük ücretli işlerde sık ayrılma olur, siz de tekrar tekrar işe alıp 
calc.218 | cmR6b1 | - | Yerli vs yurt dışı | EN: The permit is | TR: İzin
calc.219 | cmR6bS | - | Yerli vs yurt dışı | EN: tied to your workplace | TR: işyerinize bağlıdır
calc.220 | cmR6b2 | - | Yerli vs yurt dışı | EN: , so the worker stays with you for the contract | TR: , böylece işçi sözleşme boyunca sizde kalır
calc.221 | cmR7 | - | Yerli vs yurt dışı | EN: Admin load | TR: İdari yük
calc.222 | cmR7a | - | Yerli vs yurt dışı | EN: Your own time, or your accountant's | TR: Sizin veya mali müşavirinizin zamanı
calc.223 | cmR7b1 | L | Yerli vs yurt dışı | EN: Finding, checking, permits and SGK paperwork are | TR: Bulma, kontrol, izinler ve SGK evrak işleri
calc.224 | cmR7bS | - | Yerli vs yurt dışı | EN: done by us | TR: bizim tarafımızdan yapılır
calc.225 | ltT | - | Yerli vs yurt dışı | EN: This is a long-term hire, not a stopgap | TR: Bu uzun vadeli bir işe alımdır, geçici bir çözüm değil
